files;accuracy;mean(f1);mean(prec);mean(recall);f1_BU-E-MAIL;f1_BU-NAME-VERSAND;f1_BU-ORT;f1_BU-PLZ;f1_BU-STRASSE;f1_Fällig am;f1_MWSTProzent;f1_NAME;f1_NONE;f1_ProvisionBrutto;f1_ProvisionNetto;f1_ProvisionSteuerfrei;f1_ProvisionSteuern;f1_Rechnungsnr.;f1_Reisedatum;f1_Reisender;f1_ReisepreisBrutto;f1_ReisepreisNetto;f1_Ver-Kdnr;precision_BU-E-MAIL;precision_BU-NAME-VERSAND;precision_BU-ORT;precision_BU-PLZ;precision_BU-STRASSE;precision_Fällig am;precision_MWSTProzent;precision_NAME;precision_NONE;precision_ProvisionBrutto;precision_ProvisionNetto;precision_ProvisionSteuerfrei;precision_ProvisionSteuern;precision_Rechnungsnr.;precision_Reisedatum;precision_Reisender;precision_ReisepreisBrutto;precision_ReisepreisNetto;precision_Ver-Kdnr;recall_BU-E-MAIL;recall_BU-NAME-VERSAND;recall_BU-ORT;recall_BU-PLZ;recall_BU-STRASSE;recall_Fällig am;recall_MWSTProzent;recall_NAME;recall_NONE;recall_ProvisionBrutto;recall_ProvisionNetto;recall_ProvisionSteuerfrei;recall_ProvisionSteuern;recall_Rechnungsnr.;recall_Reisedatum;recall_Reisender;recall_ReisepreisBrutto;recall_ReisepreisNetto;recall_Ver-Kdnr
00000005558067;0.9245742092457421;0.7389740376582482;0.6330992509363297;0.9657287157287158;-1.0;0.8;0.5;1.0;0.5714285714285715;-1.0;0.5;0.7499999999999999;0.9581646423751687;1.0;0.8;-1.0;0.6666666666666666;-1.0;-1.0;-1.0;0.7499999999999999;-1.0;0.5714285714285715;-1.0;0.6666666666666666;0.3333333333333333;1.0;0.5;-1.0;0.3333333333333333;0.6;0.9971910112359551;1.0;0.6666666666666666;-1.0;0.5;-1.0;-1.0;-1.0;0.6;-1.0;0.4;-1.0;1.0;1.0;1.0;0.6666666666666666;-1.0;1.0;1.0;0.922077922077922;1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;1.0
00000005562955;0.8416666666666667;0.6242979242979243;0.5833333333333334;0.735;-1.0;1.0;0.6666666666666666;1.0;0.4;-1.0;0.0;0.0;0.9010989010989011;1.0;1.0;-1.0;0.6666666666666666;-1.0;-1.0;-1.0;0.8571428571428571;-1.0;0.0;-1.0;1.0;0.5;1.0;0.25;-1.0;0.0;0.0;1.0;1.0;1.0;-1.0;0.5;-1.0;-1.0;-1.0;0.75;-1.0;0.0;-1.0;1.0;1.0;1.0;1.0;-1.0;0.0;0.0;0.82;1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;0.0
00000005571659;0.7377049180327869;0.5051805011281321;0.45641025641025634;0.7279942279942281;-1.0;1.0;0.5;1.0;0.5714285714285715;-1.0;1.0;0.5;0.8478802992518703;0.14285714285714288;0.0;-1.0;0.0;-1.0;-1.0;-1.0;0.0;-1.0;0.5;-1.0;1.0;0.3333333333333333;1.0;0.4;-1.0;1.0;0.3333333333333333;1.0;0.07692307692307693;0.0;-1.0;0.0;-1.0;-1.0;-1.0;0.0;-1.0;0.3333333333333333;-1.0;1.0;1.0;1.0;1.0;-1.0;1.0;1.0;0.7359307359307359;1.0;0.0;-1.0;0.0;-1.0;-1.0;-1.0;0.0;-1.0;1.0
07010000443886;0.921455938697318;0.5400749923477196;0.4442652329749104;0.771316545173404;-1.0;0.5;0.5;1.0;0.2222222222222222;-1.0;0.6666666666666666;0.0;0.9586776859504132;0.0;0.8;-1.0;0.6666666666666666;-1.0;-1.0;-1.0;0.5;-1.0;0.6666666666666666;-1.0;0.3333333333333333;0.3333333333333333;1.0;0.16666666666666666;-1.0;0.5;0.0;0.9978494623655914;0.0;0.6666666666666666;-1.0;0.5;-1.0;-1.0;-1.0;0.3333333333333333;-1.0;0.5;-1.0;1.0;1.0;1.0;0.3333333333333333;-1.0;1.0;0.0;0.9224652087475149;0.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;1.0
00000005558544;0.8771929824561403;0.7980263157894737;0.7402777777777777;0.988562091503268;-1.0;0.5;0.4;1.0;0.7499999999999999;-1.0;0.33333333333333337;1.0;0.9263157894736842;0.6666666666666666;1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;1.0;-1.0;0.3333333333333333;0.25;1.0;0.6;-1.0;0.2;1.0;1.0;0.5;1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;1.0;-1.0;1.0;1.0;1.0;1.0;-1.0;1.0;1.0;0.8627450980392157;1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;1.0
00000005553553;0.9102564102564102;0.4406535594035594;0.4263687600644122;0.5206666666666666;-1.0;0.5714285714285715;0.3636363636363636;1.0;0.4;-1.0;1.0;0.0;0.9527777777777778;1.0;0.0;-1.0;0.0;-1.0;-1.0;-1.0;0.0;-1.0;0.0;-1.0;0.4;0.2222222222222222;1.0;0.5;-1.0;1.0;0.0;0.9942028985507246;1.0;0.0;-1.0;0.0;-1.0;-1.0;-1.0;0.0;-1.0;0.0;-1.0;1.0;1.0;1.0;0.3333333333333333;-1.0;1.0;0.0;0.9146666666666666;1.0;0.0;-1.0;0.0;-1.0;-1.0;-1.0;0.0;-1.0;0.0
07010000453770;0.7748917748917749;0.3544919161298472;0.3198502886002886;0.4824561403508772;-1.0;0.8;0.4;1.0;0.42857142857142855;-1.0;0.0;0.25;0.8753315649867375;0.0;0.0;-1.0;0.5;-1.0;-1.0;-1.0;0.0;-1.0;0.0;-1.0;0.6666666666666666;0.25;1.0;0.2727272727272727;-1.0;0.0;0.16666666666666666;0.9821428571428571;0.0;0.0;-1.0;0.5;-1.0;-1.0;-1.0;0.0;-1.0;0.0;-1.0;1.0;1.0;1.0;1.0;-1.0;0.0;0.5;0.7894736842105263;0.0;0.0;-1.0;0.5;-1.0;-1.0;-1.0;0.0;-1.0;0.0
00000005575376;0.7340425531914894;0.39182327334501243;0.3645833333333333;0.5754198966408269;-1.0;0.4;0.2222222222222222;1.0;0.2857142857142857;-1.0;0.0;0.0;0.8494983277591973;0.0;0.0;-1.0;1.0;-1.0;-1.0;-1.0;0.4444444444444444;-1.0;0.5;-1.0;0.25;0.125;1.0;0.16666666666666666;-1.0;0.0;0.0;1.0;0.0;0.0;-1.0;1.0;-1.0;-1.0;-1.0;0.3333333333333333;-1.0;0.5;-1.0;1.0;1.0;1.0;1.0;-1.0;0.0;0.0;0.7383720930232558;0.0;0.0;-1.0;1.0;-1.0;-1.0;-1.0;0.6666666666666666;-1.0;0.5
00000005558521;0.8628428927680798;0.5478685579550133;0.4500661375661376;0.8633824843610366;-1.0;0.5;0.0;0.2857142857142857;0.3636363636363636;-1.0;0.4;0.6;0.9250720461095101;1.0;0.6666666666666666;-1.0;0.5;-1.0;-1.0;-1.0;0.6666666666666666;-1.0;0.6666666666666666;-1.0;0.5;0.0;0.16666666666666666;0.2222222222222222;-1.0;0.25;0.42857142857142855;1.0;1.0;0.5;-1.0;0.3333333333333333;-1.0;-1.0;-1.0;0.5;-1.0;0.5;-1.0;0.5;0.0;1.0;1.0;-1.0;1.0;1.0;0.8605898123324397;1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;1.0
00000005566097;0.8734177215189873;0.681837606837607;0.612037037037037;0.8368055555555555;-1.0;0.8;0.5;1.0;0.6666666666666666;-1.0;0.6666666666666666;0.6153846153846153;0.9333333333333333;1.0;0.0;-1.0;0.5;-1.0;-1.0;-1.0;0.5;-1.0;1.0;-1.0;0.6666666666666666;0.5;1.0;0.5;-1.0;0.5;0.4444444444444444;1.0;1.0;0.0;-1.0;0.3333333333333333;-1.0;-1.0;-1.0;0.4;-1.0;1.0;-1.0;1.0;0.5;1.0;1.0;-1.0;1.0;1.0;0.875;1.0;0.0;-1.0;1.0;-1.0;-1.0;-1.0;0.6666666666666666;-1.0;1.0
00000005562457;0.7676056338028169;0.36990944689182575;0.33944444444444444;0.4816272965879265;-1.0;1.0;0.4;1.0;0.6666666666666666;-1.0;0.0;0.0;0.8722466960352423;0.5;0.0;-1.0;0.0;-1.0;-1.0;-1.0;0.0;-1.0;0.0;-1.0;1.0;0.25;1.0;0.5;-1.0;0.0;0.0;0.99;0.3333333333333333;0.0;-1.0;0.0;-1.0;-1.0;-1.0;0.0;-1.0;0.0;-1.0;1.0;1.0;1.0;1.0;-1.0;0.0;0.0;0.7795275590551181;1.0;0.0;-1.0;0.0;-1.0;-1.0;-1.0;0.0;-1.0;0.0
00000005558491;0.8823529411764706;0.7718637992831541;0.7388888888888889;0.9056224899598394;-1.0;1.0;0.33333333333333337;1.0;1.0;-1.0;0.5;0.0;0.9290322580645161;0.5;1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;1.0;-1.0;1.0;0.2;1.0;1.0;-1.0;0.3333333333333333;0.0;1.0;0.3333333333333333;1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;1.0;-1.0;1.0;1.0;1.0;1.0;-1.0;1.0;0.0;0.8674698795180723;1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;1.0
00000005592219;0.9181286549707602;0.8126712328767124;0.7388888888888889;0.9923747276688454;-1.0;1.0;0.33333333333333337;1.0;0.6666666666666666;-1.0;0.6666666666666666;0.6666666666666666;0.952054794520548;0.6666666666666666;1.0;-1.0;1.0;-1.0;-1.0;-1.0;0.8;-1.0;1.0;-1.0;1.0;0.2;1.0;0.5;-1.0;0.5;0.5;1.0;0.5;1.0;-1.0;1.0;-1.0;-1.0;-1.0;0.6666666666666666;-1.0;1.0;-1.0;1.0;1.0;1.0;1.0;-1.0;1.0;1.0;0.9084967320261438;1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;1.0
07010000450028;0.8543417366946778;0.6024897383939937;0.5294393402106168;0.8003419452887538;-1.0;0.3076923076923077;0.6666666666666666;0.28571428571428575;0.5;-1.0;0.5;0.0;0.9198036006546645;1.0;0.8;-1.0;1.0;-1.0;-1.0;-1.0;0.7499999999999999;-1.0;0.5;-1.0;0.18181818181818182;0.5;0.2;0.375;-1.0;0.3333333333333333;0.0;0.9964539007092199;1.0;0.6666666666666666;-1.0;1.0;-1.0;-1.0;-1.0;0.6;-1.0;0.5;-1.0;1.0;1.0;0.5;0.75;-1.0;1.0;0.0;0.8541033434650456;1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;0.5
00000005536399;0.8447837150127226;0.2012745163516552;0.17373737373737375;0.307477516681172;-1.0;0.4;0.0;0.0;0.14285714285714288;-1.0;0.2857142857142857;0.0;0.920056100981767;0.0;0.0;-1.0;0.0;-1.0;-1.0;-1.0;0.6666666666666666;-1.0;0.0;-1.0;0.3333333333333333;0.0;0.0;0.09090909090909091;-1.0;0.16666666666666666;0.0;0.9939393939393939;0.0;0.0;-1.0;0.0;-1.0;-1.0;-1.0;0.5;-1.0;0.0;-1.0;0.5;0.0;0.0;0.3333333333333333;-1.0;1.0;0.0;0.856396866840731;0.0;0.0;-1.0;0.0;-1.0;-1.0;-1.0;1.0;-1.0;0.0
07010000448426;0.8731117824773413;0.49945301934830727;0.42391975308641966;0.6987073707370737;-1.0;0.0;0.33333333333333337;0.28571428571428575;0.1818181818181818;-1.0;0.0;0.6666666666666666;0.9354275741710297;0.6666666666666666;0.6666666666666666;-1.0;1.0;-1.0;-1.0;-1.0;0.8571428571428571;-1.0;0.4;-1.0;0.0;0.2;0.2;0.1111111111111111;-1.0;0.0;0.5;0.9925925925925926;0.5;0.5;-1.0;1.0;-1.0;-1.0;-1.0;0.75;-1.0;0.3333333333333333;-1.0;0.0;1.0;0.5;0.5;-1.0;0.0;1.0;0.8844884488448845;1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;0.5
00000005558570;0.8878048780487805;0.624857190067038;0.5433379120879122;0.8448581560283688;-1.0;0.7499999999999999;0.3529411764705882;1.0;0.28571428571428575;-1.0;0.0;0.5714285714285715;0.9382022471910113;0.5;1.0;-1.0;0.5;-1.0;-1.0;-1.0;0.6;-1.0;1.0;-1.0;0.6;0.23076923076923078;1.0;0.2;-1.0;0.0;0.4;0.9940476190476191;0.3333333333333333;1.0;-1.0;0.3333333333333333;-1.0;-1.0;-1.0;0.42857142857142855;-1.0;1.0;-1.0;1.0;0.75;1.0;0.5;-1.0;0.0;1.0;0.8882978723404256;1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;1.0
00000005592072;0.8959537572254336;0.7593117131910235;0.7202380952380952;0.906926406926407;-1.0;1.0;0.25;1.0;0.8571428571428571;-1.0;0.4;0.0;0.9379310344827586;0.6666666666666666;1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;1.0;-1.0;1.0;0.14285714285714285;1.0;0.75;-1.0;0.25;0.0;1.0;0.5;1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;1.0;-1.0;1.0;1.0;1.0;1.0;-1.0;1.0;0.0;0.8831168831168831;1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;1.0
00000005529843;0.8127853881278538;0.5272555252800484;0.442550505050505;0.7968234323432343;-1.0;0.6;0.5;0.6666666666666666;0.5;-1.0;0.2857142857142857;0.14285714285714285;0.8937329700272479;1.0;0.5714285714285715;-1.0;0.6666666666666666;-1.0;-1.0;-1.0;0.5;-1.0;0.0;-1.0;0.5;0.3333333333333333;0.5;0.3333333333333333;-1.0;0.16666666666666666;0.08333333333333333;0.9939393939393939;1.0;0.4;-1.0;0.5;-1.0;-1.0;-1.0;0.5;-1.0;0.0;-1.0;0.75;1.0;1.0;1.0;-1.0;1.0;0.5;0.8118811881188119;1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;0.5;-1.0;0.0
07010000400204;0.9442307692307692;0.6475845410628019;0.585757254069356;0.8289562289562289;-1.0;0.33333333333333337;0.5;1.0;0.8;-1.0;1.0;0.0;0.9710144927536232;0.0;0.6666666666666666;-1.0;1.0;-1.0;-1.0;-1.0;0.5;-1.0;1.0;-1.0;0.2;0.3333333333333333;1.0;0.6666666666666666;-1.0;1.0;0.0;0.9957537154989384;0.0;0.5;-1.0;1.0;-1.0;-1.0;-1.0;0.3333333333333333;-1.0;1.0;-1.0;1.0;1.0;1.0;1.0;-1.0;1.0;0.0;0.9474747474747475;0.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;1.0
07010000446210;0.9339805825242719;0.5039930555555555;0.4285714285714286;0.744299128101945;-1.0;0.25;0.6666666666666666;1.0;0.5;-1.0;0.0;0.0;0.9645833333333333;0.0;0.5;-1.0;0.6666666666666666;-1.0;-1.0;-1.0;0.5;-1.0;1.0;-1.0;0.14285714285714285;0.5;1.0;0.3333333333333333;-1.0;0.0;0.0;1.0;0.0;0.3333333333333333;-1.0;0.5;-1.0;-1.0;-1.0;0.3333333333333333;-1.0;1.0;-1.0;1.0;1.0;1.0;1.0;-1.0;0.0;0.0;0.93158953722334;0.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;1.0
00000005547889;0.8407960199004975;0.5509670173131712;0.4831976881339939;0.7796961325966851;-1.0;0.6666666666666666;0.5;1.0;0.7499999999999999;-1.0;0.33333333333333337;0.19999999999999998;0.9171597633136094;0.8;0.4444444444444445;-1.0;1.0;-1.0;-1.0;-1.0;0.0;-1.0;0.0;-1.0;0.5;0.3333333333333333;1.0;0.6;-1.0;0.2;0.1111111111111111;0.9872611464968153;0.6666666666666666;0.4;-1.0;1.0;-1.0;-1.0;-1.0;0.0;-1.0;0.0;-1.0;1.0;1.0;1.0;1.0;-1.0;1.0;1.0;0.856353591160221;1.0;0.5;-1.0;1.0;-1.0;-1.0;-1.0;0.0;-1.0;0.0
00000005592103;0.9080459770114943;0.781544901065449;0.7083333333333334;0.9913419913419913;-1.0;1.0;0.4;1.0;1.0;-1.0;0.5;0.4;0.9452054794520548;0.6666666666666666;0.8;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;0.6666666666666666;-1.0;1.0;0.25;1.0;1.0;-1.0;0.3333333333333333;0.25;1.0;0.5;0.6666666666666666;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;0.5;-1.0;1.0;1.0;1.0;1.0;-1.0;1.0;1.0;0.8961038961038961;1.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;1.0
07010000446170;0.9326923076923077;0.7066488116145649;0.6468591140159767;0.8277210884353741;-1.0;0.8;0.6666666666666666;1.0;0.7499999999999999;-1.0;1.0;0.0;0.9631190727081138;0.0;0.8;-1.0;1.0;-1.0;-1.0;-1.0;0.5;-1.0;1.0;-1.0;0.6666666666666666;0.5;1.0;0.6;-1.0;1.0;0.0;0.9956427015250545;0.0;0.6666666666666666;-1.0;1.0;-1.0;-1.0;-1.0;0.3333333333333333;-1.0;1.0;-1.0;1.0;1.0;1.0;1.0;-1.0;1.0;0.0;0.9326530612244898;0.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;1.0
07010000455092;0.7857142857142857;0.38949553001277143;0.32569444444444445;0.6494845360824743;-1.0;0.0;0.2222222222222222;1.0;0.5;-1.0;0.4;0.0;0.8850574712643678;0.0;0.6666666666666666;-1.0;0.0;-1.0;-1.0;-1.0;0.33333333333333337;-1.0;0.6666666666666666;-1.0;0.0;0.125;1.0;0.3333333333333333;-1.0;0.25;0.0;1.0;0.0;0.5;-1.0;0.0;-1.0;-1.0;-1.0;0.2;-1.0;0.5;-1.0;0.0;1.0;1.0;1.0;-1.0;1.0;0.0;0.7938144329896907;0.0;1.0;-1.0;0.0;-1.0;-1.0;-1.0;1.0;-1.0;1.0
07010000447185;0.9283018867924528;0.4915114224102988;0.42013888888888884;0.6605971128608924;-1.0;0.8571428571428571;0.6666666666666666;0.6666666666666666;0.5454545454545454;-1.0;0.0;0.0;0.9622063329928499;0.0;0.8;-1.0;1.0;-1.0;-1.0;-1.0;0.4;-1.0;0.0;-1.0;0.75;0.5;0.5;0.375;-1.0;0.0;0.0;1.0;0.0;0.6666666666666666;-1.0;1.0;-1.0;-1.0;-1.0;0.25;-1.0;0.0;-1.0;1.0;1.0;1.0;1.0;-1.0;0.0;0.0;0.9271653543307087;0.0;1.0;-1.0;1.0;-1.0;-1.0;-1.0;1.0;-1.0;0.0
